Rk,Date,G#,Week,Age,Tm,H/A,Opp,Result,GS,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps
Rk,Date,G#,Week,Age,Tm,H/A,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk, Sk Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct
1,2024-09-08,1,1,28.11,BUF,,ARI,W 34-28,*,18,23,78.26,232,2,0,137.7,2,10,10.09,11.83,9,39,4.33,2,0,0,0,,0,0.00%,,2,12,1,1,0,0,0,0,62,100%,0,0%,0,0%
2,2024-09-12,2,2,28.114,BUF,@,MIA,W 31-10,*,13,19,68.42,139,1,0,107.1,0,0,7.32,8.37,2,2,1,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,41,91%,0,0%,0,0%
3,2024-09-23,3,3,28.125,BUF,,JAX,W 47-10,*,23,30,76.67,263,4,0,142.1,0,0,8.77,11.43,6,44,7.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,56,88%,0,0%,0,0%
4,2024-09-29,4,4,28.131,BUF,@,BAL,L 10-35,*,16,29,55.17,180,0,0,73.9,3,27,6.21,6.21,5,21,4.2,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,51,86%,0,0%,0,0%
5,2024-10-06,5,5,28.138,BUF,@,HOU,L 20-23,*,9,30,30,131,1,0,56.4,1,5,4.37,5.03,4,54,13.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,98%,0,0%,0,0%
6,2024-10-14,6,6,28.146,BUF,@,NYJ,W 23-20,*,19,25,76,215,2,0,127.9,2,5,8.6,10.2,9,18,2,1,0,0,0,,0,0.00%,,1,6,1,0,0,0,0,0,69,100%,0,0%,0,0%
7,2024-10-20,7,7,28.152,BUF,,TEN,W 34-10,*,21,33,63.64,323,2,0,116.1,1,8,9.79,11,3,1,0.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%
8,2024-10-27,8,8,28.159,BUF,@,SEA,W 31-10,*,24,34,70.59,283,2,1,102.9,1,2,8.32,8.18,7,25,3.57,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,69,91%,0,0%,0,0%
9,2024-11-03,9,9,28.166,BUF,,MIA,W 30-27,*,25,39,64.1,235,3,1,95.6,1,4,6.03,6.41,2,7,3.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%
10,2024-11-10,10,10,28.173,BUF,@,IND,W 30-20,*,22,37,59.46,280,0,2,60.6,2,0,7.57,5.14,8,50,6.25,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,73,99%,0,0%,0,0%
11,2024-11-17,11,11,28.18,BUF,,KAN,W 30-21,*,27,40,67.5,262,1,1,83.5,0,0,6.55,5.93,12,55,4.58,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,73,100%,0,0%,0,0%
12,2024-12-01,12,13,28.194,BUF,,SFO,W 35-10,*,13,17,76.47,148,2,0,141.3,0,0,8.71,11.06,3,18,6,1,0,0,7,,1,0.00%,,2,12,0,0,0,0,0,0,43,74%,0,0%,0,0%
13,2024-12-08,13,14,28.201,BUF,@,LAR,L 42-44,*,22,37,59.46,342,3,0,117.2,0,0,9.24,10.86,10,82,8.2,3,0,0,0,,0,0.00%,,3,18,0,0,0,0,0,0,60,100%,0,0%,0,0%
14,2024-12-15,14,15,28.208,BUF,@,DET,W 48-42,*,23,34,67.65,362,2,0,122.4,0,0,10.65,11.82,11,68,6.18,2,0,0,0,,0,0.00%,,2,12,0,0,0,0,0,0,70,100%,0,0%,0,0%
15,2024-12-22,15,16,28.215,BUF,,NWE,W 24-21,*,16,29,55.17,154,1,1,67.3,1,2,5.31,4.45,6,30,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%
16,2024-12-29,16,17,28.222,BUF,,NYJ,W 40-14,*,16,27,59.26,182,2,0,104.2,0,0,6.74,8.22,5,17,3.4,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,60,86%,0,0%,0,0%
17,2025-01-05,17,18,28.229,BUF,@,NWE,L 16-23,*,,,,,,,,,,,,,,,,,,,,,0.00%,,0,0,,,,,,,1,1%,0,0%,0,0%
,17 Games,,,,,,,13-4-0,,307,483,63.56,3731,28,6,101.4,14,63,7.72,8.33,102,531,5.21,12,0,0,7,,1,0.00%,,13,78,5,2,0,1,0,0,,,,,,